Animation Recording — 2026-04-02T21:56:41.148Z
Viewport: 1404px  |  Center target: 702px  |  Frames: 143
Total duration: 3224ms

frame  time_ms  phase      mainCol.left  paneLeft  paneOpacity  scrollLeft  mode
───────────────────────────────────────────────────────────────────────────────────────────────
    0      676  scroll              141       852         1.00         259  notes-mode
    1      693  scroll              149       862         1.00         252  notes-mode
    2      709  scroll              166       886         1.00         236  notes-mode
    3      725  scroll              188       916         1.00         216  notes-mode
    4      742  scroll              219       957         1.00         189  notes-mode
    5      758  scroll              251       996         1.00         163  notes-mode
    6      775  scroll              284      1035         1.00         137  notes-mode
    7      792  scroll              311      1066         1.00         116  notes-mode
    8      808  scroll              329      1086         1.00         103  notes-mode
    9      825  scroll              350      1108         1.00          88  notes-mode
   10      842  scroll              365      1125         1.00          77  notes-mode
   11      859  scroll              378      1138         1.00          68  notes-mode
   12      874  scroll              389      1150         1.00          60  notes-mode
   13      892  scroll              400      1161         1.00          53  notes-mode
   14      909  scroll              410      1171         1.00          46  notes-mode
   15      924  scroll              419      1180         1.00          40  notes-mode
   16      942  scroll              438      1200         1.00          27  notes-mode
   17      959  scroll              451      1212         1.00          19  notes-mode
   18      975  scroll              463      1224         1.00          11  notes-mode
   19      992  scroll              475      1236         1.00           3  notes-mode
   20     1009  scroll              480      1240         1.00           0  notes-mode
   21     1226  spring              479      1240         1.00           0  notes-mode
   22     1242  spring              477      1240         1.00           0  notes-mode
   23     1259  spring              475      1421         0.98           0  notes-mode
   24     1275  spring              472      1586         0.95           0  notes-mode
   25     1292  spring              468      1739         0.90           0  notes-mode
   26     1308  spring              464      1874         0.85           0  notes-mode
   27     1325  spring              460      1985         0.78           0  notes-mode
   28     1347  spring              455      2080         0.70           0  notes-mode
   29     1359  spring              450      2154         0.63           0  notes-mode
   30     1375  spring              445      2211         0.55           0  notes-mode
   31     1391  spring              440      2255         0.49           0  notes-mode
   32     1414  spring              435      2292         0.42           0  notes-mode
   33     1425  spring              431      2323         0.37           0  notes-mode
   34     1441  spring              426      2346         0.32           0  notes-mode
   35     1458  spring              421      2365         0.27           0  notes-mode
   36     1475  spring              417      2380         0.23           0  notes-mode
   37     1491  spring              412      2392         0.20           0  notes-mode
   38     1508  spring              408      2403         0.17           0  notes-mode
   39     1525  spring              404      2411         0.14           0  notes-mode
   40     1542  spring              401      2418         0.11           0  notes-mode
   41     1558  spring              397      2423         0.09           0  notes-mode
   42     1575  spring              394      2428         0.07           0  notes-mode
   43     1591  spring              391      2431         0.06           0  notes-mode
   44     1608  spring              389      2434         0.05           0  notes-mode
   45     1625  spring              386      2437         0.03           0  notes-mode
   46     1641  spring              384      2438         0.02           0  notes-mode
   47     1658  spring              382      2440         0.02           0  notes-mode
   48     1675  spring              380      2441         0.01           0  notes-mode
   49     1691  spring              379      2442         0.01           0  notes-mode
   50     1708  spring              378      2443         0.00           0  notes-mode
   51     1724  spring              377      2443         0.00           0  notes-mode
   52     1741  spring              376      2443         0.00           0  notes-mode
   53     1758  spring              375      2444         0.00           0  notes-mode
   54     1774  spring              374      2444         0.00           0  notes-mode
   55     1791  spring              374      2444         0.00           0  notes-mode
   56     1808  spring              374      2444         0.00           0  notes-mode
   57     1825  spring              373      2444         0.00           0  notes-mode
   58     1841  spring              373      2444         0.00           0  notes-mode
   59     1858  spring              373      2444         0.00           0  notes-mode
   60     1874  spring              373      2444         0.00           0  notes-mode
   61     1891  spring              374      2444         0.00           0  notes-mode
   62     1908  spring              374      2444         0.00           0  notes-mode
   63     1924  spring              374      2444         0.00           0  notes-mode
   64     1941  spring              374      2444         0.00           0  notes-mode
   65     1957  spring              375      2444         0.00           0  notes-mode
   66     1974  spring              375      2444         0.00           0  notes-mode
