Animation Recording — 2026-04-02T21:53:28.401Z
Viewport: 1404px  |  Center target: 702px  |  Frames: 141
Total duration: 3308ms

frame  time_ms  phase      mainCol.left  paneLeft  paneOpacity  scrollLeft  mode
───────────────────────────────────────────────────────────────────────────────────────────────
    0      792  scroll              140       850         1.00         260  notes-mode
    1      808  scroll              150       864         1.00         251  notes-mode
    2      825  scroll              162       880         1.00         240  notes-mode
    3      841  scroll              175       898         1.00         228  notes-mode
    4      860  scroll              198       930         1.00         207  notes-mode
    5      874  scroll              219       957         1.00         189  notes-mode
    6      892  scroll              248       993         1.00         165  notes-mode
    7      908  scroll              272      1021         1.00         146  notes-mode
    8      925  scroll              300      1053         1.00         125  notes-mode
    9      941  scroll              317      1072         1.00         112  notes-mode
   10      958  scroll              340      1098         1.00          95  notes-mode
   11      975  scroll              374      1134         1.00          71  notes-mode
   12      991  scroll              391      1152         1.00          59  notes-mode
   13     1008  scroll              407      1168         1.00          48  notes-mode
   14     1025  scroll              444      1206         1.00          23  notes-mode
   15     1042  scroll              480      1240         1.00           0  notes-mode
   16     1258  spring              483      1240         1.00           0  notes-mode
   17     1276  spring              488      1240         1.00           0  notes-mode
   18     1292  spring              496      1414         1.00           0  notes-mode
   19     1309  spring              506      1580         1.00           0  notes-mode
   20     1325  spring              517      1734         1.00           0  notes-mode
   21     1342  spring              529      1869         1.00           0  notes-mode
   22     1359  spring              543      1984         1.00           0  notes-mode
   23     1375  spring              557      2076         1.00           0  notes-mode
   24     1393  spring              572      2150         1.00           0  notes-mode
   25     1408  spring              587      2208         1.00           0  notes-mode
   26     1425  spring              602      2256         1.00           0  notes-mode
   27     1442  spring              617      2292         1.00           0  notes-mode
   28     1459  spring              632      2322         1.00           0  notes-mode
   29     1476  spring              647      2345         1.00           0  notes-mode
   30     1492  spring              661      2364         1.00           0  notes-mode
   31     1509  spring              675      2380         1.00           0  notes-mode
   32     1525  spring              688      2392         1.00           0  notes-mode
   33     1542  spring              701      2402         1.00           0  notes-mode
   34     1559  spring              713      2410         1.00           0  notes-mode
   35     1576  spring              724      2417         1.00           0  notes-mode
   36     1592  spring              734      2423         1.00           0  notes-mode
   37     1609  spring              744      2427         1.00           0  notes-mode
   38     1625  spring              753      2431         1.00           0  notes-mode
   39     1642  spring              761      2434         1.00           0  notes-mode
   40     1658  spring              769      2436         1.00           0  notes-mode
   41     1675  spring              775      2438         1.00           0  notes-mode
   42     1692  spring              781      2440         1.00           0  notes-mode
   43     1708  spring              787      2441         1.00           0  notes-mode
   44     1725  spring              791      2442         1.00           0  notes-mode
   45     1742  spring              795      2443         1.00           0  notes-mode
   46     1758  spring              799      2443         1.00           0  notes-mode
   47     1775  spring              802      2443         1.00           0  notes-mode
   48     1792  spring              804      2444         1.00           0  notes-mode
   49     1809  spring              806      2444         1.00           0  notes-mode
   50     1824  spring              807      2444         1.00           0  notes-mode
   51     1841  spring              808      2444         1.00           0  notes-mode
   52     1858  spring              809      2444         1.00           0  notes-mode
   53     1874  spring              809      2444         1.00           0  notes-mode
   54     1891  spring              809      2444         1.00           0  notes-mode
   55     1908  spring              809      2444         1.00           0  notes-mode
   56     1925  spring              808      2444         1.00           0  notes-mode
   57     1941  spring              807      2444         1.00           0  notes-mode
   58     1958  spring              807      2444         1.00           0  notes-mode
   59     1975  spring              806      2444         1.00           0  notes-mode
   60     1991  spring              804      2444         1.00           0  notes-mode
   61     2008  spring              803      2444         1.00           0  notes-mode
   62     2025  spring              802      2444         1.00           0  notes-mode
   63     2041  spring              801      2444         1.00           0  notes-mode
   64     2058  spring              799      2444         1.00           0  notes-mode
   65     2074  spring              798      2444         1.00           0  notes-mode
   66     2091  spring              797      2444         1.00           0  notes-mode
   67     2108  spring              795      2444         1.00           0  notes-mode
   68     2125  spring              794      2444         1.00           0  notes-mode
   69     2140  spring              793      2444         1.00           0  notes-mode
   70     2158  spring              792      2444         1.00           0  notes-mode
   71     2175  spring              790      2444         1.00           0  notes-mode
   72     2191  spring              789      2444         1.00           0  notes-mode
   73     2208  spring              788      2444         1.00           0  notes-mode
   74     2225  spring              787      2444         1.00           0  notes-mode
   75     2241  spring              786      2444         1.00           0  notes-mode
   76     2258  spring              785      2444         1.00           0  notes-mode
   77     2274  spring              785      2444         1.00           0  notes-mode
   78     2291  spring              784      2444         1.00           0  notes-mode
   79     2308  spring              783      2444         1.00           0  notes-mode
   80     2325  spring              783      2444         1.00           0  notes-mode
   81     2341  spring              782      2444         1.00           0  notes-mode
   82     2357  spring              782      2444         1.00           0  notes-mode
   83     2375  spring              781      2444         1.00           0  notes-mode
   84     2391  spring              781      2444         1.00           0  notes-mode
   85     2408  spring              781      2444         1.00           0  notes-mode
   86     2424  spring              780      2444         1.00           0  notes-mode
   87     2441  spring              780      2444         1.00           0  notes-mode
